Gene_acc,Gene_id,srank,Intensity,FDR,Desc,desc2,ids2
10,Tb927.7.5680,-236.47328,8.303800623765175,0.0,"deoxyribose-phosphate aldolase, putative",Tb927.7.5680:mRNA-p1 | transcript=Tb927.7.5680:mRNA | gene=Tb927.7.5680 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=deoxyribose-phosphate aldolase  putative | transcript_product=deoxyribose-phosphate aldolase  putative | location=Tb927_07_v,Tb927.7.5680:mRNA-p1
11,Tb927.10.8440,-234.353217,10.626453289792408,0.0,glucose transporter 1B,Tb927.10.8440:mRNA-p1 | transcript=Tb927.10.8440:mRNA | gene=Tb927.10.8440 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glucose transporter 1B | transcript_product=glucose transporter 1B | location=Tb927_10_v5.1:2093459-2095042(+) | protein_,Tb927.10.8440:mRNA-p1;Tb11.v5.0330.1-p1;Tb927.10.8480:mRNA-p1;Tb927.10.8470:mRNA-p1;Tb927.10.8460:mRNA-p1;Tb11.v5.0309.1-p1;Tb11.v5.0308.1-p1;Tb11.v5.0307.1-p1;Tb927.10.8450:mRNA-p1;Tb11.v5.0310.1-p1
12,Tb927.10.7270,198.062083,7.829715353251005,0.0,"hypothetical protein, conserved",Tb927.10.7270:mRNA-p1 | transcript=Tb927.10.7270:mRNA | gene=Tb927.10.7270 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein  conserved | transcript_product=hypothetical protein  conserved | location=Tb927_10_v5.1:1831362-183,Tb927.10.7270:mRNA-p1
13,Tb927.10.8530,-192.847674,8.061603249608375,0.0,glucose transporter 2A,Tb927.10.8530:mRNA-p1 | transcript=Tb927.10.8530:mRNA | gene=Tb927.10.8530 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glucose transporter 2A | transcript_product=glucose transporter 2A | location=Tb927_10_v5.1:2115838-2117427(+) | protein_,Tb927.10.8530:mRNA-p1;Tb927.10.8520:mRNA-p1;Tb927.10.8510:mRNA-p1;Tb927.10.8500:mRNA-p1;Tb927.10.8490:mRNA-p1;Tb11.v5.0332.1-p1;Tb11.v5.0331.1-p1;Tb11.v5.0333.1-p1
14,Tb927.7.180,190.115062,9.725298943058368,0.0,"Trypanosomal VSG domain containing protein, putative",Tb927.7.180:mRNA-p1 | transcript=Tb927.7.180:mRNA | gene=Tb927.7.180 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Trypanosomal VSG domain containing protein  putative | transcript_product=Trypanosomal VSG domain containing protein  putative ,Tb927.7.180:mRNA-p1
15,Tb927.7.2660,-187.933687,8.399881302691986,0.0,"zinc finger protein family member, putative",Tb927.7.2660:mRNA-p1 | transcript=Tb927.7.2660:mRNA | gene=Tb927.7.2660 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=zinc finger protein family member  putative | transcript_product=zinc finger protein family member  putative | location=Tb92,Tb927.7.2660:mRNA-p1;Tb927.7.2670:mRNA-p1
16,Tb927.5.2750,174.082866,9.204472703648964,0.0,"Alpha/beta hydrolase family, putative",Tb927.5.2750:mRNA-p1 | transcript=Tb927.5.2750:mRNA | gene=Tb927.5.2750 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Alpha/beta hydrolase family  putative | transcript_product=Alpha/beta hydrolase family  putative | location=Tb927_05_v5.1:92,Tb927.5.2750:mRNA-p1
17,Tb927.11.4290,-167.12598,9.098539897992861,0.0,40S ribosomal protein S12,Tb927.11.4290:mRNA-p1 | transcript=Tb927.11.4290:mRNA | gene=Tb927.11.4290 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S12 | transcript_product=40S ribosomal protein S12 | location=Tb927_11_v5.1:1253083-1253517(-) | pr,Tb927.11.4290:mRNA-p1
18,Tb927.11.9640,-161.853029,10.306810895618634,0.00053,"glycyl-tRNA synthetase, putative",Tb927.11.9640:mRNA-p1 | transcript=Tb927.11.9640:mRNA | gene=Tb927.11.9640 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glycyl-tRNA synthetase  putative | transcript_product=glycyl-tRNA synthetase  putative | location=Tb927_11_v5.1:2620333-2,Tb927.11.9640:mRNA-p1
19,Tb927.2.6200,151.20828899999995,9.165125569088229,0.00053,"adenosine transporter 2, putative",Tb927.2.6200:mRNA-p1 | transcript=Tb927.2.6200:mRNA | gene=Tb927.2.6200 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=adenosine transporter 2  putative | transcript_product=adenosine transporter 2  putative | location=Tb927_02_v5.1:1117941-11,Tb927.2.6200:mRNA-p1;Tb927.2.6280:mRNA-p1;Tb927.2.6240:mRNA-p1;Tb927.9.7470:mRNA-p1;Tb927.6.220:mRNA-p1
20,Tb927.10.13430,-148.991972,8.148726016398147,0.00053,"citrate synthase, putative",Tb927.10.13430:mRNA-p1 | transcript=Tb927.10.13430:mRNA | gene=Tb927.10.13430 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=citrate synthase  putative | transcript_product=citrate synthase  putative | location=Tb927_10_v5.1:3277670-3279124(-),Tb927.10.13430:mRNA-p1
21,Tb927.11.1470,145.27551499999996,8.14884934295922,0.00053,65 kDa invariant surface glycoprotein-like protein,Tb927.11.1470:mRNA-p1 | transcript=Tb927.11.1470:mRNA | gene=Tb927.11.1470 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=65 kDa invariant surface glycoprotein-like protein | transcript_product=65 kDa invariant surface glycoprotein-like protei,Tb927.11.1470:mRNA-p1
22,Tb927.11.9810,-144.392464,8.439364277735,0.00053,"NUDIX hydrolase 3, putative",Tb927.11.9810:mRNA-p1 | transcript=Tb927.11.9810:mRNA | gene=Tb927.11.9810 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=NUDIX hydrolase 3  putative | transcript_product=NUDIX hydrolase 3  putative | location=Tb927_11_v5.1:2649461-2650201(-) ,Tb927.11.9810:mRNA-p1
23,Tb927.11.9630,-144.024573,9.154728207440156,0.00053,"Snf7, putative",Tb927.11.9630:mRNA-p1 | transcript=Tb927.11.9630:mRNA | gene=Tb927.11.9630 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Snf7  putative | transcript_product=Snf7  putative | location=Tb927_11_v5.1:2619175-2619861(-) | protein_length=228 | seq,Tb927.11.9630:mRNA-p1
24,Tb927.1.4420,-143.279848,8.963438362958847,0.00053,"ABC transporter, putative",Tb927.1.4420:mRNA-p1 | transcript=Tb927.1.4420:mRNA | gene=Tb927.1.4420 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ABC transporter  putative | transcript_product=ABC transporter  putative | location=Tb927_01_v5.1:912324-915161(+) | protein,Tb927.1.4420:mRNA-p1
25,Tb927.10.12800,-143.10126599999995,8.342007929017338,0.00053,Zinc finger CCCH domain-containing protein 38,Tb927.10.12800:mRNA-p1 | transcript=Tb927.10.12800:mRNA | gene=Tb927.10.12800 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Zinc finger CCCH domain-containing protein 38 | transcript_product=Zinc finger CCCH domain-containing protein 38 | loc,Tb927.10.12800:mRNA-p1;Tb927.10.12780:mRNA-p1
26,Tb927.11.7040,-141.85763899999995,8.518500779239638,0.00053,"pterin-4-alpha-carbinolamine dehydratase, putative",Tb927.11.7040:mRNA-p1 | transcript=Tb927.11.7040:mRNA | gene=Tb927.11.7040 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=pterin-4-alpha-carbinolamine dehydratase  putative | transcript_product=pterin-4-alpha-carbinolamine dehydratase  putativ,Tb927.11.7040:mRNA-p1
27,Tb927.10.1800,137.094601,8.695324041016823,0.00053,"methyltransferase domain containing protein, putative",Tb927.10.1800:mRNA-p1 | transcript=Tb927.10.1800:mRNA | gene=Tb927.10.1800 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=methyltransferase domain containing protein  putative | transcript_product=methyltransferase domain containing protein  p,Tb927.10.1800:mRNA-p1;Tb11.v5.0832.1-p1
28,Tb927.5.1360,135.83387,10.034468022755043,0.00053,nucleoside 2-deoxyribosyltransferase,Tb927.5.1360:mRNA-p1 | transcript=Tb927.5.1360:mRNA | gene=Tb927.5.1360 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=nucleoside 2-deoxyribosyltransferase | transcript_product=nucleoside 2-deoxyribosyltransferase | location=Tb927_05_v5.1:4984,Tb927.5.1360:mRNA-p1
29,Tb927.11.4100,131.784728,9.2916352070879,0.00053,"variant surface glycoprotein (VSG), putative",Tb927.11.4100.1-p1 | transcript=Tb927.11.4100.1 | gene=Tb927.11.4100 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG)  putative | transcript_product=variant surface glycoprotein (VSG)  putative | location=Tb927,Tb927.11.4100.1-p1
30,Tb927.5.2690,129.771451,8.924093119959766,0.00053,"inositol-1(or 4)-monophosphatase 1, putative",Tb927.5.2690:mRNA-p1 | transcript=Tb927.5.2690:mRNA | gene=Tb927.5.2690 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=inositol-1(or 4)-monophosphatase 1  putative | transcript_product=inositol-1(or 4)-monophosphatase 1  putative | location=Tb,Tb927.5.2690:mRNA-p1
31,Tb927.5.300b,128.779292,9.543484456978158,0.00053,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative",Tb927.5.300b:mRNA-p1 | transcript=Tb927.5.300b:mRNA | gene=Tb927.5.300b | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein  putative | transcript_product=2-oxoglutarate (2OG) ,Tb927.5.300b:mRNA-p1;Tb927.5.300:mRNA-p1;Tb11.v5.0215.1-p1
32,Tb927.10.16190,124.380945,8.92594604924737,0.00061,procyclic-enriched flagellar receptor adenylate cyclase 2,Tb927.10.16190:mRNA-p1 | transcript=Tb927.10.16190:mRNA | gene=Tb927.10.16190 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=procyclic-enriched flagellar receptor adenylate cyclase 2 | transcript_product=procyclic-enriched flagellar receptor a,Tb927.10.16190:mRNA-p1;Tb927.11.17040:mRNA-p1
33,Tb927.11.3080,-124.015479,7.14057088863295,0.00061,"vesicular protein trafficking mediator, putative",Tb927.11.3080:mRNA-p1 | transcript=Tb927.11.3080:mRNA | gene=Tb927.11.3080 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=vesicular protein trafficking mediator  putative | transcript_product=vesicular protein trafficking mediator  putative | ,Tb927.11.3080:mRNA-p1
34,Tb927.11.1540,-121.696628,8.764049039678918,0.00143,isovaleryl-CoA dehydrogenase,Tb927.11.1540:mRNA-p1 | transcript=Tb927.11.1540:mRNA | gene=Tb927.11.1540 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=isovaleryl-CoA dehydrogenase | transcript_product=isovaleryl-CoA dehydrogenase | location=Tb927_11_v5.1:483186-484421(-) Tb927.11.15400:mRNA-p1 | transcript=Tb927.11.15400:mRNA | gene=Tb927.11.15400 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=synaptobrevin  putative | transcript_product=synaptobrevin  putative | location=Tb927_11_v5.1:4089241-4092897(-) | pro,Tb927.11.1540:mRNA-p1Tb927.11.15400:mRNA-p1;Tb11.v5.0678.1-p1
35,Tb927.5.3710,120.569587,9.346039856569805,0.0016699999999999998,Inositol phosphosphingolipids phospholipase C,Tb927.5.3710:mRNA-p1 | transcript=Tb927.5.3710:mRNA | gene=Tb927.5.3710 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Inositol phosphosphingolipids phospholipase C | transcript_product=Inositol phosphosphingolipids phospholipase C | location=,Tb927.5.3710:mRNA-p1
36,Tb11.v5.0826,119.510773,8.67410758783888,0.00189,"expression site-associated gene (ESAG) protein, putative",Tb11.v5.0826.1-p1 | transcript=Tb11.v5.0826.1 | gene=Tb11.v5.0826 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=expression site-associated gene (ESAG) protein  putative | transcript_product=expression site-associated gene (ESAG) protein  puta,Tb11.v5.0826.1-p1;Tb927.7.6860:mRNA-p1
37,Tb927.3.560,118.3243,9.016113666358908,0.00189,"expression site-associated gene 11 (ESAG11) protein, putative",Tb927.3.560:mRNA-p1 | transcript=Tb927.3.560:mRNA | gene=Tb927.3.560 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=expression site-associated gene 11 (ESAG11) protein  putative | transcript_product=expression site-associated gene 11 (ESAG11) ,Tb927.3.560:mRNA-p1
38,Tb927.2.4370,116.829122,10.456350847741819,0.00189,trypanothione synthetase,Tb927.2.4370:mRNA-p1 | transcript=Tb927.2.4370:mRNA | gene=Tb927.2.4370 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=trypanothione synthetase | transcript_product=trypanothione synthetase | location=Tb927_02_v5.1:771007-772890(-) | protein_l,Tb927.2.4370:mRNA-p1;Tb11.v5.0653.1-p1
39,Tb927.11.9980,-115.652781,9.762333391254447,0.00189,"2-oxoglutarate dehydrogenase E1 component, putative",Tb927.11.9980:mRNA-p1 | transcript=Tb927.11.9980:mRNA | gene=Tb927.11.9980 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=2-oxoglutarate dehydrogenase E1 component  putative | transcript_product=2-oxoglutarate dehydrogenase E1 component  putat,Tb927.11.9980:mRNA-p1
40,Tb927.11.16750,-114.946721,7.804418872615517,0.00189,"hypothetical protein, conserved",Tb927.11.16750:mRNA-p1 | transcript=Tb927.11.16750:mRNA | gene=Tb927.11.16750 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein  conserved | transcript_product=hypothetical protein  conserved | location=Tb927_11_v5.1:4456875-,Tb927.11.16750:mRNA-p1
41,Tb927.11.9510,-113.12688,8.4437635069775,0.00189,"nucleic acid binding protein, putative",Tb927.11.9510:mRNA-p1 | transcript=Tb927.11.9510:mRNA | gene=Tb927.11.9510 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=nucleic acid binding protein  putative | transcript_product=nucleic acid binding protein  putative | location=Tb927_11_v5,Tb927.11.9510:mRNA-p1
42,Tb09.v4.0150,111.291821,8.553288194064596,0.00189,"variant surface glycoprotein (VSG, pseudogene), putative",Tb09.v4.0150:pseudogenic_transcript-p1 | transcript=Tb09.v4.0150:pseudogenic_transcript | gene=Tb09.v4.0150 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG  pseudogene)  putative | transcript_product=variant su,Tb09.v4.0150:pseudogenic_transcript-p1
43,Tb927.11.9480,-107.255576,8.664453928581157,0.00205,"tubulin binding cofactor c, putative",Tb927.11.9480:mRNA-p1 | transcript=Tb927.11.9480:mRNA | gene=Tb927.11.9480 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=tubulin binding cofactor c  putative | transcript_product=tubulin binding cofactor c  putative | location=Tb927_11_v5.1:2,Tb927.11.9480:mRNA-p1
44,Tb927.4.3950,-107.181299,8.026819159241226,0.00205,"cytoskeleton-associated protein CAP5.5, putative",Tb927.4.3950:mRNA-p1 | transcript=Tb927.4.3950:mRNA | gene=Tb927.4.3950 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=cytoskeleton-associated protein CAP5.5  putative | transcript_product=cytoskeleton-associated protein CAP5.5  putative | loc,Tb927.4.3950:mRNA-p1
45,Tb927.10.3040,-103.834419,8.77724552642262,0.00239,succinate dehydrogenase subunit,Tb927.10.3040:mRNA-p1 | transcript=Tb927.10.3040:mRNA | gene=Tb927.10.3040 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=succinate dehydrogenase subunit | transcript_product=succinate dehydrogenase subunit | location=Tb927_10_v5.1:795837-7962,Tb927.10.3040:mRNA-p1
46,Tb927.11.13730,100.691836,8.285489796846294,0.00239,ornithine decarboxylase,Tb927.11.13730:mRNA-p1 | transcript=Tb927.11.13730:mRNA | gene=Tb927.11.13730 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ornithine decarboxylase | transcript_product=ornithine decarboxylase | location=Tb927_11_v5.1:3655883-3657154(+) | pro,Tb927.11.13730:mRNA-p1
47,Tb927.3.1700,97.800614,8.59884520035703,0.00292,"diacylglycerol acyltransferase, putative",Tb927.3.1700:mRNA-p1 | transcript=Tb927.3.1700:mRNA | gene=Tb927.3.1700 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=diacylglycerol acyltransferase  putative | transcript_product=diacylglycerol acyltransferase  putative | location=Tb927_03_v,Tb927.3.1700:mRNA-p1
48,Tb927.10.1390,97.056212,10.445775396743086,0.00292,Hypoxanthine-guanine-xanthine phosphoribosyltransferase,Tb927.10.1390:mRNA-p1 | transcript=Tb927.10.1390:mRNA | gene=Tb927.10.1390 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Hypoxanthine-guanine-xanthine phosphoribosyltransferase | transcript_product=Hypoxanthine-guanine-xanthine phosphoribosyl,Tb927.10.1390:mRNA-p1
49,Tb927.7.7530,97.012724,9.554295289354139,0.00292,"receptor-type adenylate cyclase GRESAG 4, putative",Tb927.7.7530:mRNA-p1 | transcript=Tb927.7.7530:mRNA | gene=Tb927.7.7530 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=receptor-type adenylate cyclase GRESAG 4  putative | transcript_product=receptor-type adenylate cyclase GRESAG 4  putative |,Tb927.7.7530:mRNA-p1;Tb927.7.7520:mRNA-p1
50,Tb927.5.110,96.278273,7.916427626874599,0.00292,"variant surface glycoprotein (VSG)-related, putative",Tb927.5.110:mRNA-p1 | transcript=Tb927.5.110:mRNA | gene=Tb927.5.110 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG)-related  putative | transcript_product=variant surface glycoprotein (VSG)-related  putative Tb927.5.1100:mRNA-p1 | transcript=Tb927.5.1100:mRNA | gene=Tb927.5.1100 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=peroxisome targeting signal 1 receptor | transcript_product=peroxisome targeting signal 1 receptor | location=Tb927_05_v5.1:,Tb927.5.110:mRNA-p1Tb927.5.1100:mRNA-p1
51,Tb927.11.17870,95.563275,9.118628415296598,0.00292,"variant surface glycoprotein (VSG), interrupted",Tb927.11.17870:mRNA-p1 | transcript=Tb927.11.17870:mRNA | gene=Tb927.11.17870 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG)  interrupted | transcript_product=variant surface glycoprotein (VSG)  interrupted |,Tb927.11.17870:mRNA-p1
52,Tb927.10.2440,95.508717,10.585799009013002,0.00292,Metacaspase-4,Tb927.10.2440:mRNA-p1 | transcript=Tb927.10.2440:mRNA | gene=Tb927.10.2440 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Metacaspase-4 | transcript_product=Metacaspase-4 | location=Tb927_10_v5.1:630862-631923(-) | protein_length=353 | sequenc,Tb927.10.2440:mRNA-p1
53,Tb927.11.9760,-95.279564,8.642236925922143,0.00292,"hypothetical protein, conserved",Tb927.11.9760:mRNA-p1 | transcript=Tb927.11.9760:mRNA | gene=Tb927.11.9760 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein  conserved | transcript_product=hypothetical protein  conserved | location=Tb927_11_v5.1:2638861-264,Tb927.11.6790:mRNA-p1;REV__Tb927.11.9760:mRNA-p1Tb927.11.9760:mRNA-p1
54,Tb927.11.5440,-94.031698,10.338057875419755,0.00292,"NADP-dependent malic enzyme, cytosolic",Tb927.11.5440:mRNA-p1 | transcript=Tb927.11.5440:mRNA | gene=Tb927.11.5440 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=NADP-dependent malic enzyme  cytosolic | transcript_product=NADP-dependent malic enzyme  cytosolic | location=Tb927_11_v5,Tb927.11.5440:mRNA-p1
55,Tb927.6.3140,93.724072,9.062243441026478,0.00292,Ubiquitin-like protein 11,Tb927.6.3140:mRNA-p1 | transcript=Tb927.6.3140:mRNA | gene=Tb927.6.3140 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Ubiquitin-like protein 11 | transcript_product=Ubiquitin-like protein 11 | location=Tb927_06_v5.1:925945-926232(+) | protein,Tb927.6.3140:mRNA-p1
56,Tb927.6.2990,93.163629,7.487604955956124,0.00292,"Putative papain-like cysteine peptidase (DUF1796), putative",Tb927.6.2990:mRNA-p1 | transcript=Tb927.6.2990:mRNA | gene=Tb927.6.2990 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Putative papain-like cysteine peptidase (DUF1796)  putative | transcript_product=Putative papain-like cysteine peptidase (DU,Tb927.6.2990:mRNA-p1
57,Tb11.02.5400b,-90.354011,8.009790719354298,0.00293,"cystathionine beta-synthase, putative",Tb11.02.5400b.1-p1 | transcript=Tb11.02.5400b.1 | gene=Tb11.02.5400b | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=cystathionine beta-synthase  putative | transcript_product=cystathionine beta-synthase  putative | location=Tb927_11_bin_v5.1:6,Tb11.02.5400b.1-p1;Tb11.02.5400:mRNA-p1
58,Tb927.8.5120,-89.632948,9.006294857981386,0.00293,cytochrome c,Tb927.8.5120:mRNA-p1 | transcript=Tb927.8.5120:mRNA | gene=Tb927.8.5120 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=cytochrome c | transcript_product=cytochrome c | location=Tb927_08_v5.1:1527060-1527404(+) | protein_length=114 | sequence_S,Tb927.8.5120:mRNA-p1
59,Tb927.6.2490,-87.066074,8.589983093181969,0.00383,succinate dehydrogenase subunit 7,Tb927.6.2490:mRNA-p1 | transcript=Tb927.6.2490:mRNA | gene=Tb927.6.2490 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=succinate dehydrogenase subunit 7 | transcript_product=succinate dehydrogenase subunit 7 | location=Tb927_06_v5.1:759002-759,Tb927.6.2490:mRNA-p1
60,Tb927.11.11680,-86.07511099999998,10.212560457971144,0.00393,"2-oxoglutarate dehydrogenase E2 component, putative",Tb927.11.11680:mRNA-p1 | transcript=Tb927.11.11680:mRNA | gene=Tb927.11.11680 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=2-oxoglutarate dehydrogenase E2 component  putative | transcript_product=2-oxoglutarate dehydrogenase E2 component  pu,Tb927.11.11680:mRNA-p1
61,Tb927.1.5110,85.909072,8.886981144532202,0.00403,"expression site-associated gene 11 (ESAG11) protein, putative",Tb927.1.5110:mRNA-p1 | transcript=Tb927.1.5110:mRNA | gene=Tb927.1.5110 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=expression site-associated gene 11 (ESAG11) protein  putative | transcript_product=expression site-associated gene 11 (ESAG1,Tb927.1.5110:mRNA-p1
62,Tb927.7.5230,85.85606700000002,9.558228421803326,0.00403,lanosterol synthase,Tb927.7.5230:mRNA-p1 | transcript=Tb927.7.5230:mRNA | gene=Tb927.7.5230 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=lanosterol synthase | transcript_product=lanosterol synthase | location=Tb927_07_v5.1:1382167-1384887(+) | protein_length=90,Tb927.7.5230:mRNA-p1
63,Tb927.11.20730,84.662699,7.674714208660997,0.00406,"glycerophosphoryl diester phosphodiesterase, putative",Tb927.11.20730:mRNA-p1 | transcript=Tb927.11.20730:mRNA | gene=Tb927.11.20730 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glycerophosphoryl diester phosphodiesterase  putative | transcript_product=glycerophosphoryl diester phosphodiesterase,Tb927.11.20730:mRNA-p1
