Gene_acc,Gene_id,SignedRank,log10TMT,FDR,Desc
26,Tb927.11.7040,-141.85763899999995,5.385042039292652,0.00053,"pterin-4-alpha-carbinolamine dehydratase, putative"
27,Tb927.10.1800,137.094601,5.496694456815302,0.00053,"methyltransferase domain containing protein, putative"
28,Tb927.5.1360,135.83387,6.498834148837391,0.00053,nucleoside 2-deoxyribosyltransferase
29,Tb927.11.4100,131.784728,5.88687878469341,0.00053,"variant surface glycoprotein (VSG), putative"
30,Tb927.5.2690,129.771451,5.481031550343966,0.00053,"inositol-1(or 4)-monophosphatase 1, putative"
31,Tb927.5.300b,128.779292,6.109008449614022,0.00053,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative"
32,Tb927.10.16190,124.380945,5.891582984660629,0.00061,procyclic-enriched flagellar receptor adenylate cyclase 2
33,Tb927.11.3080,-124.015479,4.2671282967832065,0.00061,"vesicular protein trafficking mediator, putative"
34,Tb927.11.1540,-121.696628,5.617229316887946,0.00143,isovaleryl-CoA dehydrogenase
35,Tb927.5.3710,120.569587,6.043688367713159,0.0016699999999999998,Inositol phosphosphingolipids phospholipase C
36,Tb11.v5.0826,119.510773,5.589625713486823,0.00189,"expression site-associated gene (ESAG) protein, putative"
37,Tb927.3.560,118.3243,5.472183348546179,0.00189,"expression site-associated gene 11 (ESAG11) protein, putative"
38,Tb927.2.4370,116.829122,6.82638366851985,0.00189,trypanothione synthetase
39,Tb927.11.9980,-115.652781,6.253364663209388,0.00189,"2-oxoglutarate dehydrogenase E1 component, putative"
40,Tb927.11.16750,-114.946721,4.634876785055201,0.00189,"hypothetical protein, conserved"
41,Tb927.11.9510,-113.12688,4.925757161349656,0.00189,"nucleic acid binding protein, putative"
42,Tb09.v4.0150,111.291821,5.279347492410732,0.00189,"variant surface glycoprotein (VSG, pseudogene), putative"
43,Tb927.11.9480,-107.255576,5.409885241274243,0.00205,"tubulin binding cofactor c, putative"
44,Tb927.4.3950,-107.181299,4.671951528407974,0.00205,"cytoskeleton-associated protein CAP5.5, putative"
45,Tb927.10.3040,-103.834419,5.670762121440293,0.00239,succinate dehydrogenase subunit
46,Tb927.11.13730,100.691836,4.980756858944875,0.00239,ornithine decarboxylase
47,Tb927.3.1700,97.800614,5.52022143588196,0.00292,"diacylglycerol acyltransferase, putative"
48,Tb927.10.1390,97.056212,6.812642673436373,0.00292,Hypoxanthine-guanine-xanthine phosphoribosyltransferase
49,Tb927.7.7530,97.012724,5.946904010665083,0.00292,"receptor-type adenylate cyclase GRESAG 4, putative"
50,Tb927.5.110,96.278273,4.914263802522533,0.00292,"variant surface glycoprotein (VSG)-related, putative"
51,Tb927.11.17870,95.563275,5.556115472599458,0.00292,"variant surface glycoprotein (VSG), interrupted"
52,Tb927.10.2440,95.508717,7.010181188003777,0.00292,Metacaspase-4
53,Tb927.11.9760,-95.279564,5.042907439066217,0.00292,"hypothetical protein, conserved"
54,Tb927.11.5440,-94.031698,6.669067267763322,0.00292,"NADP-dependent malic enzyme, cytosolic"
55,Tb927.6.3140,93.724072,5.448495045821712,0.00292,Ubiquitin-like protein 11
56,Tb927.6.2990,93.163629,4.625187221624117,0.00292,"Putative papain-like cysteine peptidase (DUF1796), putative"
57,Tb11.02.5400b,-90.354011,4.675101328830241,0.00293,"cystathionine beta-synthase, putative"
58,Tb927.8.5120,-89.632948,5.575834185298543,0.00293,cytochrome c
59,Tb927.6.2490,-87.066074,5.586786029557187,0.00383,succinate dehydrogenase subunit 7
60,Tb927.11.11680,-86.07511099999998,6.450557009418329,0.00393,"2-oxoglutarate dehydrogenase E2 component, putative"
61,Tb927.1.5110,85.909072,5.157297568167381,0.00403,"expression site-associated gene 11 (ESAG11) protein, putative"
62,Tb927.7.5230,85.85606700000002,5.934733209798961,0.00403,lanosterol synthase
63,Tb927.11.20730,84.662699,4.39824390845685,0.00406,"glycerophosphoryl diester phosphodiesterase, putative"
64,Tb927.10.2250,-84.26694300000003,5.485570012035035,0.00406,"ubiquitin-conjugating enzyme variant Kua homologue, putative"
65,Tb927.5.4560,81.753845,6.826939289685481,0.00455,"guanine deaminase, putative"
66,Tb927.7.3350,81.32760400000002,3.8848255615592913,0.00455,"palmitoyl acyltransferase 11, putative"
67,Tb927.9.4040,-80.790186,5.724722225980711,0.00456,"nicotinamidase, putative"
68,Tb927.4.1360,-80.075726,5.892884522551015,0.00478,"Glucose-6-phosphate 1-epimerase, putative"
69,Tb927.11.900,-79.735854,6.9593721573651885,0.00486,"isocitrate dehydrogenase, putative"
70,Tb927.8.1460,79.466613,4.64240021219796,0.00486,"EamA-like transporter family, putative"
71,Tb927.10.9360,-76.974452,6.291039378124881,0.00583,"L-2-hydroxyglutarate dehydrogenase, mitochondrial, putative"
72,Tb927.3.2230,-76.627604,6.592478400275242,0.00583,"succinyl-CoA synthetase alpha subunit, putative"
73,Tb927.11.9530,-75.787483,6.457132205547603,0.00608,14-3-3 protein 1
74,Tb927.2.2060,75.722483,4.683311258777457,0.00608,"variant surface glycoprotein (VSG)-related, putative"
75,Tb927.10.6530,74.085553,4.680258439705396,0.00618,"dolichyl-P-Man:GDP-Man5GlcNAc2-PP-dolichyl alpha-1,3-mannosyltransferase, putative"
76,Tb927.6.1520,-73.216032,5.2052955092931015,0.006490000000000001,Aquaglyceroporin 1
77,Tb927.10.5780,71.912922,3.686181779760516,0.006490000000000001,"amino acid tansporter, putative"
78,Tb927.5.2250,71.803012,6.1675536211968245,0.006490000000000001,"META domain/Domain of unknown function (DUF1935), putative"
79,Tb927.11.7710,71.63438599999998,5.852134209659975,0.006490000000000001,"Gp63-1 surface protease homolog, putative"
80,Tb927.11.1450,-70.060508,6.31338451991697,0.006790000000000001,"2-oxoglutarate dehydrogenase E1 component, putative"
81,Tb927.2.6220,68.831688,5.5616995184495535,0.00695,"adenosine transporter 2, putative"
82,Tb927.11.15860,-64.99019,4.934106904766203,0.0088,"L-Lysine transport protein, putative"
83,Tb927.11.1560,64.832155,6.487922791853209,0.0088,"1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative"
84,Tb927.11.950,64.08162800000001,4.791151246450956,0.00894,"RNA-binding protein, putative"
85,Tb927.5.309b,64.037824,6.244326610230636,0.00894,"invariant surface glycoprotein, putative"
86,Tb927.5.310,63.640859,6.342606887894579,0.0092,"invariant surface glycoprotein, putative"
87,Tb927.9.4200,-62.853622,5.863273280294853,0.00932,fatty acyl CoA synthetase 2
88,Tb927.6.3990,-62.06920699999999,4.8879593881230194,0.00966,"hypothetical protein, conserved"
89,Tb927.5.3600,61.52173000000001,5.941105437629814,0.01,"ATP-dependent DEAD/H RNA helicase, putative"
90,Tb927.8.6450,-61.513383,5.37420131589946,0.01,inhibitor of cysteine peptidase
91,Tb927.5.1780,61.113038,5.036868329981055,0.01011,"hypothetical protein, conserved"
92,Tb927.11.9780,-60.538442,5.666505500649079,0.01011,Nucleoporin NUP119
93,Tb927.9.9640,-59.39021999999999,6.848501121964025,0.01053,"hypothetical protein, conserved"
94,Tb927.11.9440,-59.184997,6.031736922505046,0.01053,Component of motile flagella 63
95,Tb927.8.2720,59.165893,5.599795767925861,0.01053,"Putative serine esterase (DUF676), putative"
96,Tb927.7.4970,-59.099096,4.560255435951923,0.01053,"glutamine synthetase, putative"
97,Tb927.9.7540,-58.556376,5.387505504133657,0.01092,"cysteine peptidase, Clan CA, family C2, putative"
98,Tb927.6.410,58.500522,5.600631711734833,0.01092,"hypothetical protein, conserved"
99,Tb927.8.7610,-58.447745,6.090072206164237,0.01092,"amino acid transporter 1, putative"
100,Tb927.11.9200,58.269989,4.774507233530275,0.01092,"methyltransferase domain containing protein, putative"
101,Tb927.5.3500,58.171582,4.464328060417402,0.01092,"SET domain containing protein, putative"
102,Tb927.10.15360,-57.488182,5.940083801144504,0.01117,"hypothetical protein, conserved"
103,Tb927.5.420,57.36588,5.103872108403055,0.01125,"invariant surface glycoprotein, putative"
104,Tb927.5.930,-56.343516,6.104905725978579,0.0121,NADH-dependent fumarate reductase
105,Tb11.v5.0421,56.242623,5.738574457461473,0.0121,"75 kDa invariant surface glycoprotein, putative"
106,Tb927.8.2670,-56.167537,5.086294562938649,0.0121,"Putative S-adenosyl-L-methionine-dependent methyltransferase, putative"
107,Tb927.4.4880,-55.78691,4.415354580236403,0.01213,"RING-variant domain containing protein, putative"
108,Tb927.3.3370,55.668562,5.980500289946726,0.01213,"hypothetical protein, conserved"
109,Tb927.10.430,-55.602197,4.182072579806716,0.01213,"peroxidase, putative"
110,Tb927.10.7410,-55.47784300000001,6.677375754072364,0.01213,"succinyl-CoA ligase [GDP-forming] beta-chain, putative"
111,Tb927.11.9610,-54.981427,6.258824782124394,0.01232,eukaryotic translation initiation factor 3 subunit i
112,Tb927.11.16340,-54.135197,5.4330761152463385,0.01319,"Importin-beta N-terminal domain/HEAT-like repeat, putative"
113,Tb927.1.5120,54.120243,5.777662394058232,0.01319,"expression site-associated gene 1 (ESAG1) protein, putative"
114,Tb927.9.15040,53.806141,5.156730826499419,0.0133,"DTW domain containing protein, putative"
115,Tb927.11.9470,-53.360138,5.9593236715187965,0.013619999999999998,"ADP-ribosylation factor GTPase activating protein, putative"
116,Tb927.4.2290,52.858899,4.659428096924734,0.01385,"glucose transporter, putative"
117,Tb927.8.870,52.745828,5.466474650681624,0.01385,"CAMK/CAMKL family protein kinase, putative"
118,Tb927.11.9400,-52.47154499999999,6.47058442876557,0.01412,"hypothetical protein, conserved"
119,Tb927.7.210,-51.929148,5.691895951460625,0.01467,"Proline dehydrogenase, mitochondrial"
120,Tb927.9.15470,-51.125332,5.542626277818052,0.015619999999999997,"kinesin, putative"
121,Tb927.10.7990,-51.043284,5.725957889268827,0.015619999999999997,"replication factor C subunit 3, putative"
122,Tb927.8.6710,50.984351,5.39361906918366,0.015619999999999997,"hypothetical protein, conserved"
123,Tb927.4.4350,-49.740406,5.445702777452055,0.01734,"emp24/gp25L/p24 family/GOLD, putative"
124,Tb927.8.3630,-49.53370200000001,5.775262047563627,0.01744,"folate transporter, putative"
125,Tb927.10.2110,-49.442202,7.7014758783814425,0.01744,elongation factor 1-alpha
126,Tb927.11.5050,-49.040455,5.875000457907751,0.01795,"fumarate hydratase, class I"
127,Tb927.10.9560,-48.587038,4.772678581419276,0.0182,"oxidoreductase, putative"
128,Tb927.9.5170,-48.458318,5.245257609429094,0.01822,"phosphomevalonate kinase protein, putative"
129,Tb927.9.8130,-48.04150900000001,6.569079207371995,0.01838,"nascent polypeptide associated complex subunit, putative"
130,Tb927.9.8720,-47.583969,6.3645291081115,0.01954,"fructose-1,6-bisphosphatase"
131,Tb927.10.6070,-47.399343,5.270764211832821,0.01954,universal minicircle sequence binding protein 1
132,Tb927.3.4120,47.37086400000001,3.3683395798221496,0.01954,"hypothetical protein, conserved"
133,Tb927.8.1790,-47.109106,5.565015016319185,0.0197,"hypothetical protein, conserved"
134,Tb927.11.6870,-46.605987,6.896271702207625,0.02059,14-3-3 protein 2
135,Tb927.4.2650,46.316743,4.535810829778801,0.02096,"Regulator of chromosome condensation (RCC1) repeat, putative"
136,Tb927.10.14000,-46.184607,5.8355478965869745,0.02096,aconitase
137,Tb927.11.9405,-45.976051,4.825650023561285,0.02096,hypothetical protein
138,Tb927.11.9700,-45.911248,6.620222835767713,0.02096,"transcription factor BTF3, putative"
139,Tb927.4.4570,-45.715772,5.139786762785801,0.021,"hypothetical protein, conserved"
140,Tb927.4.3770,-45.202745,5.395046676784403,0.02184,"calcium/calmodulin-dependent protein kinase, putative"
141,Tb927.11.11920,45.152758,4.75724415102197,0.02184,"molybdenum cofactor biosynthesis protein, putative"
142,Tb927.6.3240,44.92716400000001,5.477212929433851,0.02184,"hypothetical protein, conserved"
143,Tb927.1.1500,44.001296,5.874146351753638,0.02292,"conserved protein, unknown function"
144,Tb927.7.520,-43.98055,4.989604047880563,0.02292,"cytochrome b5-like Heme/Steroid binding domain containing protein, putative"
145,Tb927.11.3440,-43.929965,4.782645781885691,0.02292,"hypothetical protein, conserved"
146,Tb927.11.2190,-43.096305,5.151186429116652,0.02395,MICOS complex subunit MIC10-2
147,Tb11.v5.0228,42.749486,6.507309287933099,0.02453,"75 kDa invariant surface glycoprotein, putative"
148,Tb927.11.11090,42.5831,4.378328238645337,0.0247,Nucleoporin NUP140
149,Tb927.2.3370,-42.571056,5.627729323655636,0.0247,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative"
150,Tb927.5.2990,42.486349,4.66316046884742,0.0247,"hypothetical protein, conserved"
151,Tb927.10.10000,-42.427648,5.181071457822617,0.0247,"hypothetical protein, conserved"
152,Tb927.11.1260,-42.276222,4.8939734036189595,0.0251,"copper-transporting ATPase-like protein, putative"
153,Tb927.7.3470,-41.966697,5.409997896536291,0.02519,"p22 protein precursor, putative"
154,Tb927.4.610,41.691218,5.450562139254344,0.02561,"PX domain containing protein, putative"
155,Tb927.11.9690,-41.542525,5.188806658082997,0.02583,Spindle pole body protein 1
156,Tb927.5.360,41.427107,7.050165714554967,0.02605,75 kDa invariant surface glycoprotein
157,Tb927.11.9670,-41.366711,5.738668271977849,0.02605,"aminomethyltransferase, mitochondrial, putative"
158,Tb927.5.920,41.187611,4.185716819615725,0.02605,"rhodanese-like domain containing protein, putative"
159,Tb927.8.2330,-40.980688,4.20841940824617,0.02637,"hypothetical protein, conserved"
160,Tb927.5.370,40.784893,5.929859808797092,0.02671,"75 kDa invariant surface glycoprotein, putative"
161,Tb927.10.7860,-40.549877,4.665866987146156,0.02685,"hypothetical protein, conserved"
162,Tb927.7.280,-40.197163,5.036531753686358,0.02748,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
163,Tb927.11.15440,-39.761436,4.74727712204819,0.02835,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
164,Tb927.4.4790,39.736425,4.867604963220198,0.02835,"hypothetical protein, conserved"
165,Tb927.4.1930,-39.6076,6.172285655844085,0.02835,eukaryotic translation initiation factor 3 subunit g
166,Tb927.11.13770,38.977187,5.63187818439004,0.0297,"LEM3 (ligand-effect modulator 3) family / CDC50 family, putative"
167,Tb927.3.4640,-38.598369,5.679644384176057,0.03018,"VIT family, putative"
168,Tb927.5.3370,37.953018,4.995900515718847,0.031889999999999995,hypothetical protein
169,Tb927.11.1020,-37.950894,6.50637197269618,0.031889999999999995,"ribokinase, putative"
170,Tb927.8.4690,-37.424872,4.830254961291313,0.03257,"hypothetical protein, conserved"
171,Tb927.8.7980,-37.306113,6.6031227115073365,0.03285,"Pyrophosphate-energized vacuolar membrane proton pump 2, putative"
172,Tb927.8.2310,-37.130088,6.301074508567129,0.03289,"(H+)-ATPase G subunit, putative"
173,Tb927.11.9550,-36.905652,5.560743301054712,0.03316,"replication factor C, subunit 4, putative"
174,Tb927.8.6730,36.802038,5.913530409240904,0.03331,Enriched in surface-labeled proteome protein 24
175,Tb927.5.1260,36.208676,6.336626481587919,0.03506,"Sulfate transporter N-terminal domain with GLY motif/Sulfate transporter family, putative"
176,Tb927.7.2160,-35.994546,5.472868542292185,0.03531,"hypothetical protein, conserved"
177,Tb927.9.13100,-35.715519,5.4975009548938,0.03573,"ankyrin repeat protein, putative"
178,Tb927.11.9420,-35.64133599999999,5.827743948885873,0.03573,"ATP synthase, putative"
179,Tb927.11.9520,-35.400761,4.99099039961518,0.03633,"DNA topoisomerase III, putative"
180,Tb927.7.4390,-35.393986,5.46230064512169,0.03633,"threonine synthase, putative"
181,Tb10.v4.0149,-35.344811,4.915501844616051,0.03633,"variant surface glycoprotein (VSG, pseudogene), putative"
182,Tb927.11.16790,34.778405,5.32983500503075,0.03743,mitogen-activated protein kinase
183,Tb927.11.13220,-34.614461,5.266713717116956,0.03788,phospholipid:diacylglycerol acyltransferase-like protein
184,Tb927.8.3470,34.412165,5.730701544281845,0.03827,"Vesicle transport v-SNARE protein N-terminus, putative"
185,Tb927.7.4800,-34.405072,4.57028212923388,0.03827,"hypothetical protein, conserved"
186,Tb927.9.9730,-34.310671,5.461323413081541,0.03829,Flagellar pocket protein FP45
187,Tb927.11.9090,34.235681,4.745341587220658,0.03829,"Putative methyltransferase, putative"
188,Tb927.11.12090,-34.042528999999995,5.258880617365592,0.03852,"endonuclease III, putative"
189,Tb927.5.4420,33.970362,6.61065484082097,0.03879,"nucleolar RNA helicase II, putative"
190,Tb10.v4.0252,33.767235,-inf,0.03911,"variant surface glycoprotein (VSG, pseudogene), putative"
191,Tb927.10.2220,33.767235,-inf,0.03911,PIWI-like protein
192,Tb927.11.10030,33.767235,-inf,0.03911,"60S ribosomal protein L29, putative"
193,Tb927.2.5600,33.767235,-inf,0.03911,"hypothetical protein, conserved"
194,Tb927.10.3750,-33.708269,5.735940718827631,0.03911,"Endonuclease/Exonuclease/phosphatase family, putative"
195,Tb927.11.13710,-33.708183,4.7622695793433705,0.03911,"hypothetical protein, conserved"
196,Tb927.9.6350,33.704407,5.59121676903179,0.03911,"inositol-1(or 4)-monophosphatase, putative"
197,Tb927.6.5130,-33.670534,6.45874609444908,0.03911,"60S acidic ribosomal protein P2, putative"
198,Tb927.8.8040,-33.416411,4.9368236028973795,0.03911,"kinetoplastid-specific phospho-protein phosphatase, putative"
199,Tb927.9.13360,-33.347912,4.857521453843049,0.03911,"ubiquitin-protein ligase, putative"
200,Tb927.11.4860,33.229879,5.928708998128366,0.03915,"Ring finger domain containing protein, putative"
201,Tb927.11.15450,-33.197441999999995,5.176645836655609,0.03915,Basal body protein
202,Tb927.10.9140,-33.058482,4.568072590294782,0.039310000000000005,"FAD dependent oxidoreductase, putative"
203,Tb927.9.12630,-32.858831,7.743277138003383,0.0402,"glycerol kinase, glycosomal"
204,Tb927.4.4070,-32.752113,5.924586802420706,0.0402,"mevalonate kinase, putative"
205,Tb927.6.3000,-32.651324,5.121037041316911,0.04034,"sphingolipid delta 4 desaturase, putative"
206,Tb927.11.5120,32.641132,4.9092573045006835,0.04034,"TPR repeat/SET domain containing protein, putative"
207,Tb927.11.13130,32.634899,6.074506816275448,0.04034,membrane-bound acid phosphatase 1 precursor
208,Tb927.9.12300,-32.572426,5.839145862114094,0.04034,"replication factor C, subunit 3, putative"
209,Tb927.5.760,32.407467,5.551144908756322,0.04081,"Cell cycle sequence binding phosphoprotein, putative"
210,Tb927.10.8730,-32.364298,5.076435321844133,0.04081,"ABC1 family, putative"
211,Tb927.8.7960,32.093514,4.667264562098638,0.04184,hypothetical protein
212,Tb927.4.1230,-31.977523,6.427280490045181,0.04202,hypothetical protein
213,Tb11.01.6241,31.975961,5.260035593008731,0.04202,"expression site-associated gene (ESAG) protein, putative"
214,Tb927.10.8100,31.893505,4.566187961458206,0.04202,"hypothetical protein, conserved"
215,Tb927.1.3390,31.553418,4.632727166036443,0.04282,"Eukaryotic protein of unknown function (DUF866), putative"
216,Tb927.10.10600,-31.211848,4.70110437512335,0.04378,"ARP2/3 complex 16kDa subunit, putative"
217,Tb927.6.1860,30.978415,4.773699918662446,0.04486,conserved protein
218,Tb927.10.11890,-30.915415000000007,5.186755802125383,0.04486,"hypothetical protein, conserved"
219,Tb927.7.1240,-30.631590000000006,5.789987085538637,0.04559,Sphingosine kinase
220,Tb927.5.940,-30.575474,4.998808399880894,0.04579,"NADH-dependent fumarate reductase, putative"
221,Tb927.3.2650,-30.331496,4.749290458400536,0.04676,"cytochrome c oxidase copper chaperone, putative"
222,Tb927.5.3880,30.313943,4.42413267676826,0.04676,"hypothetical protein, conserved"
223,Tb927.10.8880,30.30707,5.68618028884846,0.04676,RNA interference factor 4
224,Tb927.11.15150,-29.676816,6.172311455289763,0.04938,"1-acyl-sn-glycerol-3-phosphate acyltransferase, putative"
225,Tb927.7.4180,-29.61308,6.261266834934036,0.049510000000000005,Fatty acid elongase
226,Tb927.10.5310,-29.611718,5.527341994083697,0.049510000000000005,"SNF1-related protein kinases, putative"
227,Tb927.10.12480,29.468563,4.943140703765356,0.05,"UAA transporter family, putative"
228,Tb927.2.2490,29.270882,5.845436037728838,0.05066,hypothetical protein
229,Tb927.8.6060,-29.057753,6.735435210087832,0.05161,2-amino-3-ketobutyrate coenzyme A ligase
230,Tb927.10.15790,-29.046099,3.935090573211957,0.05161,"CHCH domain containing protein, putative"
231,Tb927.5.1060,-29.043204,4.859908491655713,0.05161,"mitochondrial processing peptidase, beta subunit, putative"
232,Tb927.10.3530,29.018153,4.246900519262161,0.05161,"hypothetical protein, conserved"
233,Tb927.9.15190,-28.743937,6.204142601571162,0.05184,"ribosomal protein L15, putative"
234,Tb927.7.7500,28.624061,5.445381031692692,0.05184,"thymine-7-hydroxylase, putative"
235,Tb927.1.3830,-28.333006,7.621328639075985,0.05288,"glucose-6-phosphate isomerase, glycosomal"
236,Tb927.9.12320,-28.306353,5.907875148814815,0.05288,"cystathione gamma lyase, putative"
237,Tb927.9.15890,-28.299458,5.350470924804668,0.05288,"expression site-associated gene 5 (ESAG5) protein, putative"
238,Tb927.9.13490,28.271583000000003,6.0778407077869305,0.05288,"metallo-peptidase, Clan MG, Family M24"
239,Tb927.9.11480,28.258733000000007,6.266114049531676,0.05288,Enriched in surface-labeled proteome protein 9
240,Tb927.3.4360,-28.246989000000006,6.369222043897161,0.05288,"40S ribosomal protein S15A, putative"
241,Tb927.9.11600,-28.07797,6.825640290926809,0.053020000000000005,glycosomal membrane protein
242,Tb927.6.1870,-28.070316,5.807840460112999,0.053020000000000005,Eukaryotic translation initiation factor 4E-4
243,Tb927.8.8340,28.051179,5.931603628137186,0.053020000000000005,"CRAL/TRIO domain containing protein, putative"
244,Tb927.11.4890,27.982096,5.217624299545791,0.05314,Cap-specific mRNA (nucleoside-2-O-)-methyltransferase
245,Tb927.11.9730,-27.693289,6.32501937565373,0.054229999999999993,"60S ribosomal protein L34, putative"
246,Tb927.8.3840,27.603707,6.252808547888998,0.05462,"hypothetical protein, conserved"
247,Tb927.9.1350,27.368376,5.721505595490425,0.0556,"hypothetical protein, conserved"
248,Tb927.10.13740,-27.24612,5.443343839565423,0.0561,"synaptotagmin, putative"
249,Tb927.10.2230,-27.11981,4.928080772061849,0.05672000000000001,"NADPH:adrenodoxin oxidoreductase, mitochondrial, putative"
250,Tb927.7.2970,26.781063,5.963145351816788,0.05825,"ATP-dependent DEAD/H RNA helicase, putative"
251,Tb927.3.3900,-26.75108,6.105868259098281,0.05837000000000001,"carnitine O-palmitoyltransferase II, putative"
252,Tb927.6.3890,-26.69023,6.044253533446472,0.05854,"replication factor C, subunit 2, putative"
253,Tb927.10.11930,-26.599447,5.959293464484446,0.05894,beta-D-hydroxybutyrate dehydrogenase
254,Tb927.4.2240,-26.566740000000006,5.940898151009279,0.05894,"Aminotransferase class IV, putative"
255,Tb927.4.2740,-26.459223,7.355777071046467,0.05926,"p25-alpha, putative"
256,Tb927.5.4300,26.453768,4.9233847873822985,0.05926,"prolyl oligopeptidase, putative"
257,Tb927.9.10950,26.154435,4.358261714690962,0.0607,"chaperone protein DnaJ, putative"
258,Tb927.8.4820,-25.929758,6.2246236930228385,0.06212,eukaryotic translation initiation factor 4 gamma 3
259,Tb927.8.5510,25.881327,6.128641552953883,0.06219,"apurinic/apyrimidinic endonuclease, putative"
260,Tb927.9.15010,-25.800557,4.918540560257806,0.06253,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
261,Tb927.8.4810,-25.795949,6.245360473575625,0.06253,prohibitin 1
262,Tb927.3.3410,25.630388,6.480811511500964,0.06331,"aspartyl aminopeptidase, putative"
263,Tb927.10.14070,-25.537384,4.999188559386703,0.06345,mevalonate diphosphate decarboxylase
264,Tb927.11.6630,-25.412872,5.350470924804668,0.06404,"3-methylcrotonoyl-CoA carboxylase beta subunit, putative"
265,Tb927.2.5870,-25.304883,4.34035156125344,0.06432,"hypothetical protein, conserved"
266,Tb927.10.15700,-25.244594,5.351026078169902,0.06442,"hypothetical protein, conserved"
267,Tb927.11.15900,-25.217679,6.522061503205878,0.06444,"60S ribosomal protein L27, putative"
268,Tb927.6.4130,-25.097531,4.687768188304209,0.06472,succinate dehydrogenase subunit 3
269,Tb927.5.510,-25.092873,5.048267610577606,0.06472,putative succinate dehydrogenase subunit
270,Tb927.1.1270,25.020822,4.875773886458177,0.06472,"homocysteine S-methyltransferase, putative"
271,Tb927.11.14360,25.001778,5.9107248749959025,0.06472,mitochondrial carrier protein
272,Tb927.5.3200,24.862011,5.391008660237928,0.06535,"hypothetical protein, conserved"
273,Tb927.10.12700,-24.849008,6.593372843387263,0.06535,"pyruvate dehydrogenase E1 alpha subunit, putative"
274,Tb927.11.4300,-24.827619,7.051604596735135,0.06535,"60S ribosomal protein L18, putative"
275,Tb927.7.470,24.671575,6.20227029773729,0.06598,Enriched in surface-labeled proteome protein 14
276,Tb927.8.5320,-24.664291,4.666488340193017,0.06598,"hypothetical protein, conserved"
277,Tb927.9.10650,24.649231,4.781425041680749,0.06598,hypothetical protein
278,Tb927.10.16120,-24.648545,6.715221745851831,0.06598,inosine-5-monophosphate dehydrogenase
279,Tb927.9.12710,-24.538991,4.423483441777479,0.06598,"hypothetical protein, conserved"
280,Tb927.10.5340,-24.440713,6.69066409765876,0.06616,"40S ribosomal protein S18, putative"
281,Tb927.8.2520,-24.406123,6.280251995793407,0.06616,"acetyl-CoA synthetase, putative"
